list,word,cefr,status,unit
ACL,abstract concept,,pendiente,
ACL,academic achievement,,pendiente,
ACL,academic career,,pendiente,
ACL,academic circles,,pendiente,
ACL,academic community,,pendiente,
ACL,academic debate,,pendiente,
ACL,academic discipline,,pendiente,
ACL,academic discourse,,pendiente,
ACL,academic institution,,pendiente,
ACL,academic journal,,pendiente,
ACL,academic life,,pendiente,
ACL,academic performance,,pendiente,
ACL,academic research,,pendiente,
ACL,academic skills,,pendiente,
ACL,academic study,,pendiente,
ACL,academic success,,pendiente,
ACL,academic work,,pendiente,
ACL,academic world,,pendiente,
ACL,academic writing,,pendiente,
ACL,academic year,,pendiente,
ACL,accept responsibility,,pendiente,
ACL,acceptable behaviour,,pendiente,
ACL,accurate assessment,,pendiente,
ACL,accurate description,,pendiente,
ACL,accurate information,,pendiente,
ACL,accurate measurement,,pendiente,
ACL,accurate picture,,pendiente,
ACL,accurate record,,pendiente,
ACL,acquire knowledge,,pendiente,
ACL,active involvement,,pendiente,
ACL,active participant,,pendiente,
ACL,active participation,,pendiente,
ACL,active role,,pendiente,
ACL,acutely aware,,pendiente,
ACL,add information,,pendiente,
ACL,additional cost,,pendiente,
ACL,additional information,,pendiente,
ACL,additional problem,,pendiente,
ACL,additional resources,,pendiente,
ACL,additional support,,pendiente,
ACL,administrative practices,,pendiente,
ACL,advanced economy,,pendiente,
ACL,advanced technology,,pendiente,
ACL,adverse effect,,pendiente,
ACL,adverse reaction,,pendiente,
ACL,adversely affect,,pendiente,
ACL,allocate resources,,pendiente,
ACL,almost identical,,pendiente,
ACL,alternative approach,,pendiente,
ACL,alternative explanation,,pendiente,
ACL,alternative form,,pendiente,
ACL,alternative interpretion,,pendiente,
ACL,alternative means,,pendiente,
ACL,alternative method,,pendiente,
ACL,alternative model,,pendiente,
ACL,alternative solution,,pendiente,
ACL,alternative source,,pendiente,
ACL,alternative strategy,,pendiente,
ACL,alternative view,,pendiente,
ACL,alternative way,,pendiente,
ACL,ample evidence,,pendiente,
ACL,analytical approach,,pendiente,
ACL,analytical tool,,pendiente,
ACL,anecdotal evidence,,pendiente,
ACL,annual conference,,pendiente,
ACL,annual meeting,,pendiente,
ACL,annual rate,,pendiente,
ACL,annual report,,pendiente,
ACL,annual review,,pendiente,
ACL,apply equally,,pendiente,
ACL,appropriate action,,pendiente,
ACL,appropriate behaviour,,pendiente,
ACL,appropriate conditions,,pendiente,
ACL,appropriate data,,pendiente,
ACL,appropriate form,,pendiente,
ACL,appropriate language,,pendiente,
ACL,appropriate level,,pendiente,
ACL,appropriate point,,pendiente,
ACL,appropriate response,,pendiente,
ACL,appropriate skills,,pendiente,
ACL,appropriate treatment,,pendiente,
ACL,appropriate way,,pendiente,
ACL,armed conflict,,pendiente,
ACL,artificial intelligence,,pendiente,
ACL,assessment process,,pendiente,
