# CEFR-J / English Profile (dataset Maximax67, derivado de CEFR-J + frecuencia).
# Solo palabra+nivel (dato factual). Tapa huecos de banda y extiende escala.
# Oxford 5000 tiene precedencia en el rastreador; esto rellena lo que Oxford no trae.
word,cefr
a,a1
abandon,b1
abandoned,b2
ability,a2
able,b1
abnormal,b1
abnormally,b2
aboard,b1
abolish,b2
aboriginal,b2
aborigine,b1
about,a1
above,a1
abroad,a2
abruptly,b2
absence,b1
absent,b1
absentee,b2
absolute,b1
absolutely,b1
absorb,b1
abstract,b1
absurd,b2
abundance,b1
abundant,b1
abuse,b2
academic,b1
academy,b1
accent,b1
accept,a2
acceptable,a2
acceptance,b1
access,b1
accessibility,b2
accessible,b1
accessory,b1
accident,a2
accidental,b1
accidentally,b1
accommodation,b2
accompany,b1
accomplish,b1
accordingly,b2
account,a2
accountant,b1
accumulate,b2
accuracy,b1
accurate,b1
accurately,b1
accusation,b2
accuse,b1
accustom,b1
ache,b1
achievable,b2
achieve,a2
achievement,b1
acid,b2
acknowledge,b1
acknowledgement,b1
acknowledgment,b1
acquaintance,b1
acquire,b1
acquisition,b2
across,a2
act,a2
action,a1
active,b1
actively,b2
activity,a1
actor,a1
actress,b1
actual,b2
actually,a2
acute,b2
ad,b1
adapt,b1
adaptable,b2
add,a1
addict,b2
addicted,b2
addiction,b2
addition,a2
additional,a2
additionally,b2
address,a1
addressee,b1
adequate,b2
adequately,b2
adjective,a2
adjust,a2
adjustment,b2
administration,b1
administrative,b2
admirable,b2
admiration,b1
admire,a2
admiringly,b2
admission,b1
admit,a2
admittedly,b2
adopt,b1
adopted,b2
adoption,b2
adorable,b1
adore,b2
adorn,b2
adult,a2
advance,b1
advanced,a2
advancement,b2
advantage,a2
advent,b2
adventure,a2
adventurous,b2
adverb,b1
adverbial,b1
adverse,b2
adversely,b2
adversity,b2
advert,b1
advertise,b1
advertisement,a2
advertising,a2
advice,a2
advise,a2
adviser,b1
advisor,b1
aerobics,b1
aeroplane,a1
affair,a2
affect,b1
affection,b1
affectionate,b2
affectionately,b2
afford,b1
affordable,b2
afraid,a1
after,a1
afternoon,a1
afterward,b1
afterwards,b1
again,a1
against,a2
age,a1
aged,a2
ageless,b2
agency,a2
agenda,b1
agent,a2
aggressive,b1
aggressively,b2
ago,a1
agonise,b2
agonize,b2
agony,b2
agree,a1
agreement,b1
agricultural,b1
agriculture,b1
ahead,a2
aid,b1
aim,b1
air,a2
aircraft,b2
aircrew,b2
airline,b1
airplane,a1
airport,a1
aisle,a2
alarm,a2
album,a1
alcohol,b1
alcoholic,b1
alcoholism,b2
alert,b2
alike,b1
alive,a2
all,a1
allegation,b2
allergic,b1
alliance,b2
allow,a2
allowance,b1
ally,b2
almost,a1
alone,a1
along,a1
alongside,b2
aloud,b1
alphabet,b1
alphabetical,b2
already,a1
alright,a2
also,a1
altar,b2
alter,b2
alternate,b2
alternative,b1
alternatively,b2
although,a2
altitude,b2
altogether,b1
aluminium,b2
aluminum,b2
always,a1
am,a1
amaze,b2
amazed,b1
amazement,b2
amazing,b1
amazingly,b2
ambassador,b2
ambiguity,b2
ambiguous,b2
ambition,a2
ambitious,b1
ambulance,b1
ammonia,b2
among,a2
amongst,b2
amount,b1
ample,b2
amplifier,b2
amplify,b2
amuse,b2
amused,a2
amusement,a2
amusing,b1
an,a1
analogy,b2
analyse,b1
analysis,b1
analyst,b2
analyze,b1
ancestor,a2
anchor,b2
anchorage,b2
anchorman,b2
anchorperson,b2
ancient,a2
and,a1
angel,a2
anger,b1
angle,b1
angrily,a2
angry,a1
anguish,b2
animal,a1
animate,b2
animated,b1
animation,b1
ankle,a2
anniversary,a2
announce,b1
announcement,b1
annoy,a2
annoyance,b1
annoyed,b1
annoying,a2
annual,b1
annually,b1
anonymous,b2
another,a1
answer,a1
ant,b1
anti,b1
antiaircraft,b2
antibacterial,b2
anticancer,b2
anticipate,b2
anticipation,b2
antipollution,b2
antique,b1
antistatic,b2
antivirus,b2
antonym,b1
anxiety,b1
anxious,a2
anxiously,b1
any,a1
anybody,a1
anyhow,b1
anymore,a2
anyone,a1
anything,a1
anyway,a2
anywhere,a2
apart,a2
apartment,a2
ape,b1
apologise,a2
apologize,a2
apology,b1
apostrophe,b2
apparent,b1
apparently,a2
appeal,b1
appear,a2
appearance,a2
appetite,b1
applaud,b1
applause,b1
apple,a1
applicant,b2
application,b1
apply,a2
appoint,b1
appointment,a2
appreciate,a2
appreciation,b1
appreciative,b2
approach,b1
appropriate,a2
appropriately,b2
approval,b1
approve,b1
approximate,b2
approximately,b1
april,a1
apron,a1
arch,b2
archaeologist,b2
archeologist,b2
architect,b1
architecture,a2
arctic,b2
are,a1
area,a2
arena,b2
argue,a2
argument,a2
arise,b1
aristocracy,b2
arithmetic,b1
arm,a1
armchair,a2
armed,a2
armful,b2
army,b1
around,a1
arouse,b2
arrange,b1
arrangement,b1
arrest,b1
arrival,b1
arrive,a1
arrogant,b2
arrow,b1
art,a1
artery,b2
article,a1
articulate,b2
artificial,a2
artificially,b2
artist,b1
artistic,b1
artistry,b2
as,a1
ash,b2
ashamed,b1
aside,b1
ask,a1
asleep,a2
aspect,b1
aspiration,b2
aspire,b2
aspirin,b1
assault,b2
assemble,b2
assembly,b2
assert,b2
assess,b2
assessment,b2
assign,b1
assignment,b1
assist,b1
assistance,b1
assistant,a2
associate,b1
association,a2
assume,b1
assumption,b2
assurance,b2
assure,b2
astonish,b2
astonished,b2
astonishing,b2
astonishment,b2
astronaut,a2
astronomer,b1
astronomy,b2
at,a1
athlete,a2
athletic,b1
athletics,b2
atlantic,b1
atmosphere,b1
atom,a2
atomic,b1
attach,b1
attached,b2
attachment,b1
attack,a2
attain,b1
attainable,b2
attainment,b2
attempt,a2
attend,b1
attendance,b2
attention,a2
attentive,b2
attentively,b2
attitude,a2
attract,b1
attraction,b1
attractive,a2
attractiveness,b2
attribute,b2
atypical,b2
aubergine,b2
audience,a2
audio,a2
audit,b2
audition,b2
august,a1
aunt,a1
author,a2
authorise,b2
authoritative,b2
authority,b1
authorize,b2
automatic,a2
automatically,a2
autumn,a1
auxiliary,b1
availability,b2
available,b1
avenue,b1
average,a2
avoid,a2
await,b2
awake,a1
award,a2
aware,b1
awareness,b1
away,a1
awe,b2
awesome,b1
awful,a2
awkward,b1
ax,b2
axe,b2
axis,b2
baby,a1
babysit,b1
babysitter,b1
back,a1
backache,b1
background,a2
backpack,b1
backpacker,b1
backpacking,b1
backup,b2
backward,b2
backwards,b2
backyard,b2
bacon,b1
bad,a1
bad-tempered,b2
badge,b2
badly,a2
badminton,a2
bag,a1
baggage,b1
bake,a2
baker,b1
bakery,b1
balance,b1
balanced,b2
balcony,a2
bald,b1
balky,b2
ball,a1
ballad,b2
ballet,b2
balloon,a2
ballot,b2
ban,b2
banana,a1
band,a1
bandage,b1
bang,b1
bank,a1
banker,b2
banking,a2
bankrupt,b2
bankruptcy,b2
bar,a1
barbecue,a2
barber,a2
barbershop,b2
bare,b1
barely,b1
bargain,a2
bark,b1
barley,b2
barman,b1
barn,b2
barometer,b2
barrel,b1
barren,b2
barrier,b2
bartender,b2
base,a2
baseball,a1
basement,b1
basic,a2
basically,a2
basin,b1
basis,b1
basket,a2
basketball,a1
bat,a1
batch,a2
bath,a1
bathe,b1
bathhouse,b2
bathroom,a1
battery,a2
battle,b1
battlefield,b2
bay,a2
be,a1
beach,a1
beagle,b2
beak,b2
beam,b2
bean,a1
bear,a1
beard,b1
bearing,b2
beast,b1
beat,b1
beautiful,a1
beautifully,b1
beautify,b2
beauty,a2
beaver,b1
because,a1
become,a1
bed,a1
bedroom,a1
bedside,b1
bee,a1
beef,a1
been,a2
beer,a2
before,a1
beg,a2
begin,a1
beginner,a2
beginning,a2
behalf,b1
behave,b1
behavior,a2
behaviour,a2
behind,a1
being,a1
belief,b1
believe,a1
bell,a1
bellow,b2
belly,a2
belong,a2
